,Ozone,Solar,Wind,Month,Day,Year,Temp,Weather
77,35.0,274.0,10.3,7,17,2010,82,S
78,61.0,285.0,6.3,7,18,2010,84,C
80,63.0,220.0,11.5,7,20,2010,85,C
81,16.0,7.0,6.9,7,21,2010,74,S
82,42.0,258.0,9.7,7,22,2010,81,S
83,42.0,295.0,11.5,7,23,2010,82,C
86,20.0,81.0,8.6,7,26,2010,82,C
87,52.0,82.0,12.0,7,27,2010,86,C
89,50.0,275.0,7.4,7,29,2010,86,C
90,64.0,253.0,7.4,7,30,2010,83,PS
91,59.0,254.0,9.2,7,31,2010,81,C
92,39.0,83.0,6.9,8,1,2010,81,PS
93,9.0,24.0,13.8,8,2,2010,81,PS
94,16.0,77.0,7.4,8,3,2010,82,PS
96,35.0,199.0,7.4,8,5,2010,85,S
97,66.0,199.0,4.6,8,6,2010,87,C
101,42.0,222.0,8.6,8,10,2010,92,PS
102,42.0,137.0,11.5,8,11,2010,86,S
103,44.0,192.0,11.5,8,12,2010,86,S
104,28.0,273.0,11.5,8,13,2010,82,S
105,65.0,157.0,9.7,8,14,2010,80,C
106,42.0,64.0,11.5,8,15,2010,79,C
107,22.0,71.0,10.3,8,16,2010,77,C
108,59.0,51.0,6.3,8,17,2010,79,PS
109,23.0,115.0,7.4,8,18,2010,76,C
110,31.0,244.0,10.9,8,19,2010,78,PS
111,44.0,190.0,10.3,8,20,2010,78,S
112,21.0,259.0,15.5,8,21,2010,77,S
113,9.0,36.0,14.3,8,22,2010,72,C
114,42.0,255.0,12.6,8,23,2010,75,PS
115,45.0,212.0,9.7,8,24,2010,79,C
117,73.0,215.0,8.0,8,26,2010,86,S
118,42.0,153.0,5.7,8,27,2010,88,S
125,73.0,183.0,2.8,9,3,2010,93,C
127,47.0,95.0,7.4,9,5,2010,87,S
128,32.0,92.0,15.5,9,6,2010,84,S
129,20.0,252.0,10.9,9,7,2010,80,S
130,23.0,220.0,10.3,9,8,2010,78,C
131,21.0,230.0,10.9,9,9,2010,75,PS
132,24.0,259.0,9.7,9,10,2010,73,C
133,44.0,236.0,14.9,9,11,2010,81,PS
134,21.0,259.0,15.5,9,12,2010,76,S
135,28.0,238.0,6.3,9,13,2010,77,S
136,9.0,24.0,10.9,9,14,2010,71,PS
137,13.0,112.0,11.5,9,15,2010,71,PS
138,46.0,237.0,6.9,9,16,2010,78,S
139,18.0,224.0,13.8,9,17,2010,67,PS
140,13.0,27.0,10.3,9,18,2010,76,S
141,24.0,238.0,10.3,9,19,2010,68,C
142,16.0,201.0,8.0,9,20,2010,82,PS
143,13.0,238.0,12.6,9,21,2010,64,PS
144,23.0,14.0,9.2,9,22,2010,71,S
145,36.0,139.0,10.3,9,23,2010,81,S
146,7.0,49.0,10.3,9,24,2010,69,C
147,14.0,20.0,16.6,9,25,2010,63,PS
148,30.0,193.0,6.9,9,26,2010,70,C
149,42.0,145.0,13.2,9,27,2010,77,PS
150,14.0,191.0,14.3,9,28,2010,75,S
151,18.0,131.0,8.0,9,29,2010,76,PS
152,20.0,223.0,11.5,9,30,2010,68,S
153,41.0,190.0,7.4,5,1,2010,67,C
154,30.0,193.0,6.9,9,26,2010,70,PS
155,42.0,145.0,13.2,9,27,2010,77,S
156,18.0,131.0,8.0,9,29,2010,76,C
